gene,symbol,score
ENSG00000158710,TAGLN2,5352.520535647322
ENSG00000018625,ATP1A2,18198.530359864726
ENSG00000162734,PEA15,3572.5172472640133
ENSG00000171786,NHLH1,6681.333428984338
ENSG00000143228,NUF2,9348.603985312395
ENSG00000143171,RXRG,
ENSG00000188859,FAM78B,4306.14626564669
ENSG00000143153,ATP1B1,5252.11157292931
ENSG00000197959,DNM3,5350.9344523505115
ENSG00000203739,PRDX6-AS1,3887.9222429024767
ENSG00000152061,RABGAP1L,2049.755957487147
ENSG00000116147,TNR,4415.693263773172
ENSG00000227740,LINC02803,16752.057568226515
ENSG00000116183,PAPPA2,2057.982578289539
ENSG00000198797,BRINP2,29009.040977821554
ENSG00000075391,RASAL2,3769.4803394998694
ENSG00000121454,LHX4,2495.534706132029
ENSG00000243155,,3095.15835308355
ENSG00000198216,CACNA1E,4724.542517219905
ENSG00000143333,RGS16,1054565.1390864148
ENSG00000198756,COLGALT2,4443.399293134049
ENSG00000116406,EDEM3,4049.9010350562207
ENSG00000116679,IVNS1ABP,4757.118517263105
ENSG00000229739,PDC-AS1,21770.626487142814
ENSG00000162670,BRINP3,3046412.122352915
ENSG00000253148,RGS21,1386.4616800647623
ENSG00000162630,B3GALT2,4138.804153471156
ENSG00000227240,,55838.80876925806
ENSG00000162687,KCNT2,9968.586765682896
ENSG00000066279,ASPM,7345.274160156285
ENSG00000081237,PTPRC,
ENSG00000118193,KIF14,4084.1127878366397
ENSG00000077152,UBE2T,3903.221885278709
ENSG00000143847,PPFIA4,5503.885206829002
ENSG00000159388,BTG2,9685.96735322769
ENSG00000058668,ATP2B4,4799.2416720889605
ENSG00000143850,PLEKHA6,1528.7270431271963
ENSG00000163531,NFASC,4644.660461830919
ENSG00000184144,CNTN2,4536.144548246185
ENSG00000162873,KLHDC8A,3247.2395052514453
ENSG00000266028,SRGAP2,6003.022221544623
ENSG00000076356,PLXNA2,7567.523232303261
ENSG00000143469,SYT14,4534.472944975303
ENSG00000082512,TRAF5,13530.581688951126
ENSG00000117650,NEK2,14866.13372616462
ENSG00000162772,ATF3,424339.79303839424
ENSG00000117724,CENPF,4105.892735279195
ENSG00000092969,TGFB2,23933.24653164442
ENSG00000162817,C1orf115,3499.33313553834
ENSG00000203685,STUM,23169.14810314543
ENSG00000143801,PSEN2,6519.694516923445
ENSG00000143776,CDC42BPA,3756.7777802313863
ENSG00000177614,PGBD5,7954.13607995693
ENSG00000119283,TRIM67,9528.200677744817
ENSG00000162946,DISC1,2690.2513343498927
ENSG00000116991,SIPA1L2,4787.935451675574
ENSG00000135749,PCNX2,3875.184086487376
ENSG00000143674,MAP3K21,9806.092334377236
ENSG00000135750,KCNK1,77108.90550526722
ENSG00000059588,TARBP1,5238.063580948962
ENSG00000162885,B3GALNT2,6021.464573241347
ENSG00000086619,ERO1B,4530.682991353938
ENSG00000116977,LGALS8,3557.9154651002113
ENSG00000077522,ACTN2,9932.42537044362
ENSG00000116984,MTR,4432.626685425295
ENSG00000198626,RYR2,5504.04270026221
ENSG00000133019,CHRM3,5363.1560540671935
ENSG00000155816,FMN2,5389.573344708629
ENSG00000180875,GREM2,5471.325298681331
ENSG00000226828,LINC02774,144771.60943358688
ENSG00000179456,ZBTB18,14898.223171543987
ENSG00000162849,KIF26B,5091.95207902334
ENSG00000162722,TRIM58,7850.973808341342
ENSG00000130508,PXDN,8163.271042634756
ENSG00000186487,MYT1L,6422.6817444182125
ENSG00000115738,ID2,5000.938704222063
ENSG00000162976,SLC66A3,2099.667248221069
ENSG00000162981,LRATD1,5089.904691646764
ENSG00000197872,CYRIA,4642.232090756207
ENSG00000163032,VSNL1,9826.222884496763
ENSG00000119771,KLHL29,3502.5033479902722
ENSG00000198399,ITSN2,2602.3541681561856
ENSG00000084710,EFR3B,3130.000037001488
ENSG00000115163,CENPA,4639.743875232492
ENSG00000226833,PPP1CB-DT,5646279.208581826
ENSG00000115295,CLIP4,2609.487042381553
ENSG00000171094,ALK,45215506296.118744
ENSG00000049323,LTBP1,4025.275066105722
ENSG00000227028,SLC8A1-AS1,5005.57136719231
ENSG00000183023,SLC8A1,4700.056251947495
ENSG00000152518,ZFP36L2,164462.47204471333
ENSG00000152527,PLEKHH2,15440.986874654209
ENSG00000138079,SLC3A1,2344.229776443733
ENSG00000171132,PRKCE,6915.6537087760935
ENSG00000250116,RHOQ-AS1,
ENSG00000068724,TTC7A,1695.3523342200021
ENSG00000184261,KCNK12,5199.786848301461
ENSG00000282890,,2555152128.797571
ENSG00000179915,NRXN1,9540.997294594581
ENSG00000115306,SPTBN1,5313.274189133798
ENSG00000214595,EML6,4605.761840651382
ENSG00000240401,,1391.335615804715
ENSG00000115355,CCDC88A,6181.249640151777
ENSG00000055813,CCDC85A,64412.76688792388
ENSG00000028116,VRK2,4797.020877541264
ENSG00000233723,LINC01793,4299.126617481529
ENSG00000119866,BCL11A,10814.639531948074
ENSG00000162927,PUS10,3515.6231217102045
ENSG00000115902,SLC1A4,4817.861238814476
ENSG00000115977,AAK1,4931.8559841458355
ENSG00000116001,TIA1,5371.984073380439
ENSG00000116005,PCYOX1,4351.422420798478
ENSG00000163013,FBXO41,5360.669804054181
ENSG00000135622,SEMA4F,1919.7502543347427
ENSG00000115353,TACR1,2536.0573158788447
ENSG00000176204,LRRTM4,2202.3382909893016
ENSG00000066032,CTNNA2,4518.6817184640495
ENSG00000162951,LRRTM1,13188.922359176853
ENSG00000034510,TMSB10,34728.64134285263
ENSG00000068615,REEP1,6028.485832298851
ENSG00000174501,ANKRD36C,4748.923116665716
ENSG00000135976,ANKRD36,3684.8586195264274
ENSG00000196912,ANKRD36B,4553.606258963785
ENSG00000144191,CNGA3,940.567360597994
ENSG00000040933,INPP4A,5039.566235749983
ENSG00000071073,MGAT4A,2756.508001698541
ENSG00000158417,EIF5B,6157.067081564723
ENSG00000144218,AFF3,4945.747661426813
ENSG00000170500,LONRF2,4635.001237478655
ENSG00000170485,NPAS2,3440.330273488794
ENSG00000256637,LINC01965,4040.7193543673966
ENSG00000235597,LINC01102,5318.395396928976
ENSG00000234781,LINC01103,32371430.68660474
ENSG00000144057,ST6GAL2,5098.45031714641
ENSG00000169679,BUB1,34804.77668154377
ENSG00000172965,MIR4435-2HG,754935848.8490053
ENSG00000144161,ZC3H8,4089.8516100171287
ENSG00000188177,ZC3H6,4288.171780822152
ENSG00000169607,CKAP2L,119385.29542203063
ENSG00000175497,DPP10,3448.0685475067958
ENSG00000155368,DBI,3662.130841569761
ENSG00000155052,CNTNAP5,18332.397631729524
ENSG00000136717,BIN1,8191.576708776891
ENSG00000186684,CYP27C1,41741.73993797578
ENSG00000136002,ARHGEF4,5471.436777634873
ENSG00000163046,ANKRD30BL,6231.968674840901
ENSG00000176771,NCKAP5,4048.1352156946423
ENSG00000152128,TMEM163,3632.2177613441327
ENSG00000048991,R3HDM1,5336.301957044411
ENSG00000144229,THSD7B,19065317560.47561
ENSG00000150540,HNMT,4548.182644948651
ENSG00000168702,LRP1B,2928.8052614255917
ENSG00000075884,ARHGAP15,1519.9914426389819
ENSG00000232377,GTDC1-AS1,2625841.040550776
ENSG00000169554,ZEB2,5762.884669592934
ENSG00000231079,KIF5C-AS1,79394.65951876185
ENSG00000115963,RND3,4216.465026623252
ENSG00000182389,CACNB4,6236.570131688467
ENSG00000162989,KCNJ3,1859.1740491394216
ENSG00000226383,LINC01876,120562411.26828238
ENSG00000153234,NR4A2,4617.0611730899345
ENSG00000123612,ACVR1C,16101.982711877827
ENSG00000153237,CCDC148,2451.4947734303937
ENSG00000144283,PKP4,2041.8451074471964
ENSG00000223642,,113569.89373732686
ENSG00000226266,,5519.899170357628
ENSG00000153250,RBMS1,68444.71692125895
ENSG00000144290,SLC4A10,4034.860400835822
ENSG00000237750,KCNH7-AS1,291.7866410118753
ENSG00000115290,GRB14,5738.974017653911
ENSG00000153253,SCN3A,3542.5251265912575
ENSG00000136531,SCN2A,2606.774975639877
ENSG00000178662,CSRNP3,4830.117868566314
ENSG00000115339,GALNT3,34898.456670042135
ENSG00000144285,SCN1A,7569.366024732436
ENSG00000169432,SCN9A,3710.08840116807
ENSG00000128683,GAD1,30141.154078440162
ENSG00000144355,DLX1,7089.746045904863
ENSG00000091409,ITGA6,7865.100877270397
ENSG00000144354,CDCA7,74595.22531440562
ENSG00000217236,SP9,683.9749382113373
ENSG00000163328,GPR155,5289.587565369923
ENSG00000079156,OSBPL6,4067.139743417748
ENSG00000237298,TTN-AS1,4515.241861495588
ENSG00000155657,TTN,6768.211727917301
ENSG00000144331,ZNF385B,4565.758687274037
ENSG00000115252,PDE1A,5652.7841463097475
ENSG00000077232,DNAJC10,3386.1185586377696
ENSG00000162998,FRZB,2730.596983558936
ENSG00000170396,ZNF804A,5825.972602876381
ENSG00000188738,FSIP2,17591.744587357407
ENSG00000227227,,
ENSG00000003436,TFPI,13783355.709948054
ENSG00000144366,GULP1,1625.768557357532
ENSG00000187699,AKAP19,1133.2683326828198
ENSG00000144339,TMEFF2,3252.167397061304
ENSG00000118997,DNAH7,13024.18254694566
ENSG00000138411,HECW2,6545.019715963078
ENSG00000197121,PGAP1,4099.705678691553
ENSG00000065413,ANKRD44,2851.4434400755495
ENSG00000119042,SATB2,12415.940134187855
ENSG00000257045,,4764.4212390612765
ENSG00000163535,SGO2,2137.1629438086907
ENSG00000155744,HYCC2,4522.505241914196
ENSG00000163596,ICA1L,3595.2873220291995
ENSG00000116117,PARD3B,147226.5617454985
ENSG00000118257,NRP2,2929.2662100188913
ENSG00000114948,ADAM23,6116.825660477796
ENSG00000144406,UNC80,22656.646636030466
ENSG00000178568,ERBB4,1606.1447426370617
ENSG00000174453,VWC2L,
ENSG00000115414,FN1,1955.9270910503394
ENSG00000197756,RPL37A,34364.54299009936
ENSG00000115457,IGFBP2,9234.107685291492
ENSG00000115461,IGFBP5,14212.222227219361
ENSG00000163482,STK36,5756.66821760027
ENSG00000054356,PTPRN,4105.638216620841
ENSG00000114923,SLC4A3,4017.059944657692
ENSG00000116106,EPHA4,4835.266974126631
ENSG00000171951,SCG2,3406.5948629699656
ENSG00000135919,SERPINE2,5407.7074301749335
ENSG00000144460,NYAP2,7141.606540445348
ENSG00000153820,SPHKAP,3801.5851695896954
ENSG00000187957,DNER,4697.755380396605
ENSG00000135916,ITM2C,3811.854973861819
ENSG00000204128,C2orf72,5440.120084690852
ENSG00000066248,NGEF,5976.085751493622
ENSG00000188042,ARL4C,4992.978898132183
ENSG00000157985,AGAP1,4317.20262454081
ENSG00000144476,ACKR3,24227.935734545856
ENSG00000132329,RAMP1,20664986.256936625
ENSG00000144485,HES6,9069.789865507566
ENSG00000063660,GPC1,4508.063749356961
ENSG00000130294,KIF1A,5485.025026132652
ENSG00000134121,CHL1,7139.2852432806085
ENSG00000134115,CNTN6,1758694.1770659392
ENSG00000144619,CNTN4,9922.557134687719
ENSG00000150995,ITPR1,2774.1638979180125
ENSG00000233912,,
ENSG00000189229,LOC105376944,87.47596788964987
ENSG00000196277,GRM7,3558.3148269455783
ENSG00000157087,ATP2B2,5398.083361373308
ENSG00000157103,SLC6A1,7595.581459140078
ENSG00000196639,HRH1,
ENSG00000157152,SYN2,2835.873260820801
ENSG00000144711,IQSEC1,4430.503125265723
ENSG00000144596,GRIP2,2730.5639117747432
ENSG00000131370,SH3BP5,5294.965952869314
ENSG00000206560,ANKRD28,3128.149943382084
ENSG00000129810,SGO1,34584.402282183946
ENSG00000151789,ZNF385D,7265.298456690475
ENSG00000151090,THRB,7631178.710592194
ENSG00000179796,LRRC3B,3308.9606749344493
ENSG00000163491,NEK10,92290.41438904422
ENSG00000033867,SLC4A7,3869.5575177936357
ENSG00000163508,EOMES,8351.175692030576
ENSG00000144642,RBMS3,540.016298400832
ENSG00000144645,OSBPL10,4205.295105114957
ENSG00000206557,TRIM71,1042.7774102701633
ENSG00000153558,FBXL2,4000.443576245933
ENSG00000172995,ARPP21,5036.968276514677
ENSG00000163673,DCLK3,4321.991802291342
ENSG00000144668,ITGA9,2268.3165613465385
ENSG00000168026,TTC21A,28088.81825931941
ENSG00000170011,MYRIP,3680.6193729348424
ENSG00000114784,EIF1B,6153.170172365554
ENSG00000168038,ULK4,3434.05126444932
ENSG00000163808,KIF15,39975.88960132115
ENSG00000114646,CSPG5,3643.783733619461
ENSG00000235236,,6761.055115708633
ENSG00000164076,CAMKV,5780.146039207197
ENSG00000007402,CACNA2D2,407790.2923703404
ENSG00000088538,DOCK3,4016.0649448210943
ENSG00000157388,CACNA1D,3788.6568978592386
ENSG00000157445,CACNA2D3,274579.51416206174
ENSG00000243715,CACNA2D3-AS1,5424571.292584887
ENSG00000144771,LRTM1,12118474.684253477
ENSG00000187672,ERC2,3714.8852803397563
ENSG00000168309,FAM107A,2162.2944595741387
ENSG00000163689,CFAP20DC,3932.905351876315
ENSG00000144724,PTPRG,4109.6587156747755
ENSG00000163618,CADPS,3574.4700290347832
ENSG00000163630,SYNPR,86469.49096767457
ENSG00000243410,PSMD6-AS1,42215.592101200615
ENSG00000163637,PRICKLE2,1726.4713431925768
ENSG00000163638,ADAMTS9,3211971.2682488
ENSG00000241684,ADAMTS9-AS2,1505.2616184697897
ENSG00000151276,MAGI1,5347.876922499137
ENSG00000183662,TAFA1,6088.645077845955
ENSG00000114541,FRMD4B,6260.150457564405
ENSG00000114861,FOXP1,4639.963792767309
ENSG00000121440,PDZRN3,29234918.1301357
ENSG00000113805,CNTN3,5710.963483583695
ENSG00000185008,ROBO2,4821.124893702445
ENSG00000175161,CADM2,6202.235365662979
ENSG00000080224,EPHA6,5136.779147414436
ENSG00000154175,ABI3BP,
ENSG00000170017,ALCAM,2335.6036390023523
ENSG00000242759,LINC00882,8483.125785131775
ENSG00000198919,DZIP3,4948.902940556465
ENSG00000177707,NECTIN3,3620.4303053577833
ENSG00000091986,CCDC80,28728.702435994248
ENSG00000144857,BOC,47837.663186115096
ENSG00000206530,CFAP44,29829.013280145427
ENSG00000181722,ZBTB20,4443.617676091152
ENSG00000172020,GAP43,8173.205159019275
ENSG00000185565,LSAMP,3633.1361884558514
ENSG00000183833,CFAP91,18439.300784210896
ENSG00000145087,STXBP5L,6434.638079904128
ENSG00000173230,GOLGB1,5556.652264891624
ENSG00000163406,SLC15A2,17699.480904403943
ENSG00000065485,PDIA5,37477.605963373964
ENSG00000173175,ADCY5,4085.6335887250307
ENSG00000082781,ITGB5,21649.126039812985
ENSG00000114554,PLXNA1,2664.0518401568206
ENSG00000074416,MGLL,4648.566959000523
ENSG00000017260,ATP2C1,4038.0274029365255
ENSG00000251011,TMEM108-AS1,22880.266061171074
ENSG00000091513,TF,3828.859270092263
ENSG00000114115,RBP1,3554.7218109022624
ENSG00000158258,CLSTN2,18399.392890458006
ENSG00000177311,ZBTB38,5692.959583895035
ENSG00000175066,GK5,4249.626989177091
ENSG00000144935,TRPC1,12734.149756272458
ENSG00000169282,KCNAB1,3045.9551083173756
ENSG00000197415,VEPH1,15791.77805016336
ENSG00000283154,IQCJ-SCHIP1,5773.861752370645
ENSG00000113810,SMC4,4500.314585531482
ENSG00000196542,SPTSSB,33661.108827987344
ENSG00000244128,LINC01322,7944.757292461171
ENSG00000169064,ZBBX,18090.815567029178
ENSG00000163536,SERPINI1,6028.4520533243685
ENSG00000242268,LINC02082,3015540.158667614
ENSG00000144959,NCEH1,3751.945578428881
ENSG00000114346,ECT2,12854.324712180562
ENSG00000172667,ZMAT3,7633.601845086728
ENSG00000114757,PEX5L,3145.689993605794
ENSG00000163728,TTC14,4763.401206839971
ENSG00000053524,MCF2L2,1648.6714087671696
ENSG00000073792,IGF2BP2,4707.450322581655
ENSG00000244405,ETV5,4637.3774082125765
ENSG00000073849,ST6GAL1,4982.855987505692
ENSG00000127241,MASP1,3986.8370380687284
ENSG00000283175,LOC101929130,1809.772018259648
ENSG00000113916,BCL6,3045.2653017997386
ENSG00000145012,LPP,3730.753789965374
ENSG00000196083,IL1RAP,2190.2797555799552
ENSG00000114279,FGF12,4326.01881530272
ENSG00000180611,MB21D2,3952.5083883417115
ENSG00000127249,ATP13A4,89290.39513829105
ENSG00000114315,HES1,2932.220501755634
ENSG00000061938,TNK2,5141.409904386502
ENSG00000119227,PIGZ,1405.1983359059818
ENSG00000075711,DLG1,3961.957126393913
ENSG00000185621,LMLN,13167.7337097314
ENSG00000145214,DGKQ,3937.555426189933
ENSG00000163945,UVSSA,5698.156238632312
ENSG00000068078,FGFR3,106828.89036143056
ENSG00000152953,STK32B,1482.9553175504243
ENSG00000181215,C4orf50,2961.8720973065883
ENSG00000074211,PPP2R2C,2856.3213247202657
ENSG00000184985,SORCS2,6897.757995667086
ENSG00000002587,HS3ST1,5493.555209596785
ENSG00000163145,C1QTNF7,284679.0038022484
ENSG00000004468,CD38,
ENSG00000007062,PROM1,33432.021024097136
ENSG00000169744,LDB2,7702.902995776044
ENSG00000109805,NCAPG,5764.8517070590015
ENSG00000145147,SLIT2,5880.76625000319
ENSG00000185774,KCNIP4,212363.46092103727
ENSG00000091490,SEL1L3,7483.466911230518
ENSG00000169851,PCDH7,4329.693412138834
ENSG00000047365,ARAP2,222573.64865223537
ENSG00000174145,NWD2,6453.188062144203
ENSG00000179299,NSUN7,43466.3524580077
ENSG00000154277,UCHL1,14264.023446129786
ENSG00000064042,LIMCH1,7144.548388991967
ENSG00000124406,ATP8A1,5752.818720922444
ENSG00000183783,KCTD8,26373.986521412447
ENSG00000163285,GABRG1,7818.025160027801
ENSG00000151834,GABRA2,5137.334930948696
ENSG00000109158,GABRA4,1895.9223271283117
ENSG00000163288,GABRB1,8126.702424125465
ENSG00000074966,TXK,461307523.39858174
ENSG00000135605,TEC,28422.772582178677
ENSG00000128045,RASL11B,5586.689281159163
ENSG00000072201,LNX1,4176.679502100478
ENSG00000134853,PDGFRA,3762.0774554347477
ENSG00000157404,KIT,2913.709143033511
ENSG00000109255,NMU,159774757.22784698
ENSG00000174799,CEP135,5435.086713167738
ENSG00000171476,HOPX,4014.2742625346064
ENSG00000163453,IGFBP7,45028.67980493683
ENSG00000150471,ADGRL3,4843.837781821916
ENSG00000145242,EPHA5,4884.260010777452
ENSG00000250075,LOC101927237,11565.420501148432
ENSG00000080493,SLC4A4,51408.82469767995
ENSG00000156140,ADAMTS3,5329.100348968222
ENSG00000169429,CXCL8,5774978124.871567
ENSG00000138769,CDKL2,2177.412999065943
ENSG00000138744,NAAA,4036.7632386701666
ENSG00000163749,CCDC158,8184.832542548112
ENSG00000138759,FRAS1,415.38083287977975
ENSG00000152784,PRDM8,5904.454494614751
ENSG00000138670,RASGEF1B,13087.364683952032
ENSG00000249242,TMEM150C,4145.842541293627
ENSG00000145284,SCD5,4222.3137925382125
ENSG00000163624,CDS1,6228.415261728556
ENSG00000251260,WDFY3-AS1,6170.1178998159785
ENSG00000109339,MAPK10,4903.600794102389
ENSG00000163629,PTPN13,3703.751735985353
ENSG00000152583,SPARCL1,1069094.8283746736
ENSG00000118785,SPP1,2972.3271283532354
ENSG00000163644,PPM1K,5180.423027468883
ENSG00000185477,GPRIN3,4591.929471836608
ENSG00000145335,SNCA,4814.293322930095
ENSG00000184305,CCSER1,2980.0055030267563
ENSG00000248984,,104348854313.48845
ENSG00000152208,GRID2,14856.310372717406
ENSG00000182168,UNC5C,14501.807754759453
ENSG00000163116,STPG2,1056503.5585649614
ENSG00000138814,PPP3CA,5229.789347624432
ENSG00000109323,MANBA,3169.854013960591
ENSG00000138778,CENPE,4300.478268856134
ENSG00000169836,TACR3,
ENSG00000168772,CXXC4,8821.084311700704
ENSG00000168769,TET2,4175.188836282969
ENSG00000168743,NPNT,
ENSG00000188517,COL25A1,7377.949286200262
ENSG00000138798,EGF,
ENSG00000178403,NEUROG2,4737.8818669452385
ENSG00000145362,ANK2,7412.811311829776
ENSG00000164100,NDST3,3738.3751579984028
ENSG00000164099,PRSS12,3312.2559901889663
ENSG00000172403,SYNPO2,43325.995518439035
ENSG00000164109,MAD2L1,26368.580526261958
ENSG00000164111,ANXA5,7470.0471085397285
ENSG00000145386,CCNA2,26103.194792316055
ENSG00000138688,BLTP1,3788.53405816694
ENSG00000196159,FAT4,4076.2304786207987
ENSG00000164066,INTU,4875.660198542674
ENSG00000138709,LARP1B,4452.661282911631
ENSG00000250241,PCDH10-DT,2815.159144911619
ENSG00000138650,PCDH10,3257.4805921077605
ENSG00000151012,SLC7A11,7037.704426242236
ENSG00000273247,RAB33B-AS1,4162.007915858395
ENSG00000145391,SETD7,3328.756168524028
ENSG00000170153,RNF150,4455.196890189183
ENSG00000109452,INPP4B,1057227.9720156537
ENSG00000164161,HHIP,6084399.583965594
ENSG00000164169,PRMT9,4177.35135033036
ENSG00000151623,NR3C2,61596552.87279801
ENSG00000109686,SH3D19,12165.69903450102
ENSG00000109670,FBXW7,4495.107129450105
ENSG00000145423,SFRP2,6044.486474315131
ENSG00000164114,MAP9,5020.79123339565
ENSG00000145431,PDGFC,5097.975841450914
ENSG00000120251,GRIA2,5793.553645614843
ENSG00000164125,GASK1B,3957587.817102039
ENSG00000171509,RXFP1,
ENSG00000168843,FSTL5,4261.988766378269
ENSG00000164128,NPY1R,5790.692619912018
ENSG00000145416,MARCHF1,3883.8114593313717
ENSG00000052802,MSMO1,6278.5987672271285
ENSG00000038295,TLL1,2134.8307149534285
ENSG00000196104,SPOCK3,1202527.6042360316
ENSG00000198948,MFAP3L,66247054.7552548
ENSG00000174473,GALNTL6,
