gene,symbol,score
ENSG00000116106,EPHA4,4164.083064711027
ENSG00000171951,SCG2,2314.283899245414
ENSG00000135919,SERPINE2,5079.156329968661
ENSG00000153820,SPHKAP,5149.921329532644
ENSG00000187957,DNER,4195.22177375084
ENSG00000204128,C2orf72,4314.701493622621
ENSG00000066248,NGEF,4210.45807868497
ENSG00000134121,CHL1,5733.854591059374
ENSG00000134115,CNTN6,10536.150904506767
ENSG00000144619,CNTN4,3451.2742386043324
ENSG00000150995,ITPR1,3738.9980012800875
ENSG00000196277,GRM7,2411.565644839651
ENSG00000157103,SLC6A1,10132.195613330769
ENSG00000196639,HRH1,
ENSG00000144711,IQSEC1,4179.322260981973
ENSG00000131370,SH3BP5,4942.518318772437
ENSG00000129810,SGO1,6756.875869991557
ENSG00000151789,ZNF385D,1527.6663854643498
ENSG00000151090,THRB,8898.924655762228
ENSG00000179796,LRRC3B,4428.545770539653
ENSG00000163508,EOMES,4838.760702685003
ENSG00000172995,ARPP21,5034.293082044022
ENSG00000163673,DCLK3,3818.464644693028
ENSG00000114784,EIF1B,6761.983156610617
ENSG00000163808,KIF15,3457.745421481329
ENSG00000114646,CSPG5,2776.535996593448
ENSG00000157445,CACNA2D3,3182.393217171707
ENSG00000243715,CACNA2D3-AS1,9704.131729571625
ENSG00000144771,LRTM1,306769.03655436594
ENSG00000187672,ERC2,4546.616508903743
ENSG00000168309,FAM107A,3169.0707041402225
ENSG00000144724,PTPRG,3513.2236995190974
ENSG00000163618,CADPS,3996.138880851318
ENSG00000163637,PRICKLE2,3243.714795303319
ENSG00000163638,ADAMTS9,2311.4135128225107
ENSG00000151276,MAGI1,11214.048427002674
ENSG00000183662,TAFA1,4148.110717502356
ENSG00000114541,FRMD4B,6415.177783169173
ENSG00000114861,FOXP1,3651.49671135706
ENSG00000121440,PDZRN3,4098.101884933382
ENSG00000185008,ROBO2,4533.41130418521
ENSG00000175161,CADM2,4262.591275166766
ENSG00000080224,EPHA6,2659.9286457264598
ENSG00000170017,ALCAM,2815.1672616193614
ENSG00000091986,CCDC80,4250.313004637676
ENSG00000144857,BOC,5077.862282855741
ENSG00000181722,ZBTB20,4600.824430328748
ENSG00000172020,GAP43,6308.152255308486
ENSG00000185565,LSAMP,4021.088411258461
ENSG00000163406,SLC15A2,5775.284795341794
ENSG00000082781,ITGB5,4572.516478695054
ENSG00000074416,MGLL,3955.2151435893134
ENSG00000114115,RBP1,3339.156267469803
ENSG00000158258,CLSTN2,8076.834704212244
ENSG00000177311,ZBTB38,4220.7313278630545
ENSG00000197415,VEPH1,4023.4351445024913
ENSG00000113810,SMC4,3669.8466801289674
ENSG00000244128,LINC01322,5836.334958587573
ENSG00000163536,SERPINI1,3180.3762917464537
ENSG00000114346,ECT2,3386.8194023762085
ENSG00000172667,ZMAT3,4520.823217294951
ENSG00000114757,PEX5L,3399.336317652584
ENSG00000244405,ETV5,4092.7205518647916
ENSG00000127241,MASP1,4858.058748528616
ENSG00000196083,IL1RAP,4911.01256026466
ENSG00000114279,FGF12,4798.80588045709
ENSG00000180611,MB21D2,4912.4551603684195
ENSG00000114315,HES1,5705.522747010136
ENSG00000068078,FGFR3,2926.8237016835037
ENSG00000152953,STK32B,8460.363653237195
ENSG00000074211,PPP2R2C,3494.0639007938944
ENSG00000002587,HS3ST1,4517.866055271082
ENSG00000004468,CD38,
ENSG00000007062,PROM1,11399.588112757348
ENSG00000169744,LDB2,4659.670930507277
ENSG00000109805,NCAPG,2823.0475535179985
ENSG00000091490,SEL1L3,4536.007604899163
ENSG00000169851,PCDH7,4838.357507418661
ENSG00000047365,ARAP2,3071.188569757181
ENSG00000174145,NWD2,4459.972941882088
ENSG00000179299,NSUN7,3034.704151826637
ENSG00000064042,LIMCH1,6955.9922149056665
ENSG00000183783,KCTD8,6856.923038307309
ENSG00000163285,GABRG1,6922.8420329545825
ENSG00000151834,GABRA2,4617.359237139529
ENSG00000109158,GABRA4,6619.04482635209
ENSG00000163288,GABRB1,1855.0137477356466
ENSG00000074966,TXK,1513854.0866560289
ENSG00000072201,LNX1,3902.487909217117
ENSG00000134853,PDGFRA,1983.8501031270907
ENSG00000157404,KIT,6351.162567896161
ENSG00000109255,NMU,767299.1011958643
ENSG00000174799,CEP135,4796.278801711948
ENSG00000171476,HOPX,3661.3585520532006
ENSG00000150471,ADGRL3,4398.646914724109
ENSG00000145242,EPHA5,4308.741005369739
ENSG00000080493,SLC4A4,20745.793062486322
ENSG00000169429,CXCL8,917120.0573129482
ENSG00000138759,FRAS1,1311.943349485904
ENSG00000152784,PRDM8,4787.8668638412855
ENSG00000249242,TMEM150C,5147.809368140496
ENSG00000145284,SCD5,4163.561796708424
ENSG00000152583,SPARCL1,4367.06150603286
ENSG00000118785,SPP1,6512.415274809414
ENSG00000163644,PPM1K,3921.5553668425505
ENSG00000185477,GPRIN3,6252.302261479471
ENSG00000145335,SNCA,4199.132396393932
ENSG00000182168,UNC5C,3333.2595884645807
ENSG00000138814,PPP3CA,4548.5008282568215
ENSG00000138778,CENPE,4538.540034414113
ENSG00000169836,TACR3,
ENSG00000168772,CXXC4,5833.579766100978
ENSG00000168743,NPNT,
ENSG00000164100,NDST3,3884.862726895289
ENSG00000164099,PRSS12,4661.28231787146
ENSG00000164109,MAD2L1,3152.728325178336
ENSG00000164111,ANXA5,3408.339523080696
ENSG00000145386,CCNA2,4392.627535038536
ENSG00000164066,INTU,4103.93221256682
ENSG00000151012,SLC7A11,5184.623020258098
ENSG00000170153,RNF150,4201.4935695786235
ENSG00000151623,NR3C2,44544.68163887974
ENSG00000145423,SFRP2,13449.010060206234
ENSG00000145431,PDGFC,3457.5747059598593
ENSG00000120251,GRIA2,5381.051770298331
ENSG00000164125,GASK1B,12297.15020601548
ENSG00000171509,RXFP1,
ENSG00000168843,FSTL5,3125.7436153058165
ENSG00000164128,NPY1R,2547.9415645376534
ENSG00000145416,MARCHF1,5616.119569513112
ENSG00000052802,MSMO1,5286.92392334726
ENSG00000196104,SPOCK3,10112.67030064553
ENSG00000164104,HMGB2,3254.9016555523913
ENSG00000145451,GLRA3,8103.718618737843
ENSG00000150625,GPM6A,23921.781829508418
ENSG00000218336,TENM3,4328.083487616026
ENSG00000151725,CENPU,5334.864632907214
ENSG00000154553,PDLIM3,4311.126601945518
ENSG00000154556,SORBS2,4655.094776151548
ENSG00000078295,ADCY2,3322.4981640747565
ENSG00000215217,CFAP90,4219.198014217769
ENSG00000112902,SEMA5A,7612.207346410517
ENSG00000040731,CDH10,3979.4999706253034
ENSG00000251294,,2407.830622953843
ENSG00000113100,CDH9,1726.0645056980363
ENSG00000151388,ADAMTS12,
ENSG00000164188,RANBP3L,1456.3943356144084
ENSG00000079215,SLC1A3,4156.693908745797
ENSG00000113594,LIFR,4200.395748259322
ENSG00000182836,PLCXD3,3367.753156498709
ENSG00000112972,HMGCS1,4504.9523580576315
ENSG00000164171,ITGA2,5624.896058621168
ENSG00000134363,FST,2705.857779279217
ENSG00000152932,RAB3C,4487.042077824363
ENSG00000113448,PDE4D,4894.158071469383
ENSG00000049192,ADAMTS6,1798.5606058322755
ENSG00000123219,CENPK,6558.367863160459
ENSG00000069020,MAST4,8588.424062702705
ENSG00000134057,CCNB1,5790.353558507901
ENSG00000250387,LINC02197,6622.844318718858
ENSG00000145703,IQGAP2,3470.317184095141
ENSG00000228716,DHFR,4745.5425884851975
ENSG00000145687,SSBP2,5085.638513888191
ENSG00000038427,VCAN,5889.988831365146
ENSG00000145681,HAPLN1,1502.2564309012512
ENSG00000164176,EDIL3,4046.0786796962884
ENSG00000081189,MEF2C,5250.331564408978
ENSG00000164199,ADGRV1,5041.008804901813
ENSG00000175745,NR2F1,6860.722512241947
ENSG00000175471,MCTP1,3762.7076997482304
ENSG00000175426,PCSK1,12916.283144009552
ENSG00000184349,EFNA5,1909.36743755786
ENSG00000152495,CAMK4,4705.535896467556
ENSG00000129596,CDO1,3926.8468893113036
ENSG00000138829,FBN2,3808.420431567295
ENSG00000125347,IRF1,5925.612136936662
ENSG00000152377,SPOCK1,4357.267740825297
ENSG00000120738,EGR1,4150.719436477542
ENSG00000171604,CXXC5,3979.0207741633503
ENSG00000183775,KCTD16,3192.095618501586
ENSG00000156475,PPP2R2B,4632.5917875648465
ENSG00000173210,ABLIM3,7842.926726232803
ENSG00000113721,PDGFRB,1672.5970509387796
ENSG00000211445,GPX3,1728.4614009921145
ENSG00000113140,SPARC,3244.7641752237114
ENSG00000164611,PTTG1,5040.588335222297
ENSG00000145864,GABRB2,4301.222458832605
ENSG00000022355,GABRA1,26187.440315265252
ENSG00000113327,GABRG2,3535.879722386048
ENSG00000241956,LOC102546299,93158.8501945241
ENSG00000145934,TENM2,4714.732506433131
ENSG00000184347,SLIT3,
ENSG00000113763,UNC5A,3973.6670930797554
ENSG00000124785,NRN1,3380.9777044371162
ENSG00000050393,MCUR1,5872.435746893746
ENSG00000180537,RNF182,4870.142396406661
ENSG00000007944,MYLIP,4004.691506744846
ENSG00000124788,ATXN1,4089.0849582891797
ENSG00000112183,RBM24,3663.4451998890463
ENSG00000172201,ID4,4235.367775546008
ENSG00000146038,DCDC2,
ENSG00000137261,KIAA0319,4488.921366137076
ENSG00000079691,CARMIL1,5023.66947575908
ENSG00000206503,HLA-A,3817.709810914544
ENSG00000204592,HLA-E,6255.857548327517
ENSG00000124762,CDKN1A,1538.9990238679895
ENSG00000112139,MDGA1,5047.130474668271
ENSG00000146122,DAAM2,2733.548315382394
ENSG00000156564,LRFN2,3795.80785532517
ENSG00000112715,VEGFA,4831.04259628634
ENSG00000172348,RCAN2,1518.4223570675638
ENSG00000244694,PTCHD4,
ENSG00000008197,TFAP2D,5971.651815300665
