gene,symbol,score
ENSG00000112902,SEMA5A,1830.5980252005302
ENSG00000250786,SNHG18,10297.703727430202
ENSG00000145555,MYO10,4827.402918325238
ENSG00000249937,LINC02223,
ENSG00000040731,CDH10,4414.647283912596
ENSG00000113361,CDH6,14061.108035654794
ENSG00000113389,NPR3,3202.753735843024
ENSG00000152611,CAPSL,
ENSG00000164188,RANBP3L,1689.1899113292332
ENSG00000079215,SLC1A3,6088.924281837913
ENSG00000113594,LIFR,3782.424346171556
ENSG00000082074,FYB1,5653.811796800843
ENSG00000250722,SELENOP,4632.408851289499
ENSG00000112972,HMGCS1,4701.405206036886
ENSG00000172244,C5orf34,4191.669555541963
ENSG00000164171,ITGA2,7127.018629220729
ENSG00000134363,FST,34097.53447579798
ENSG00000249069,,
ENSG00000164294,GPX8,232607.32466604823
ENSG00000134352,IL6ST,6503.519840563733
ENSG00000164512,ANKRD55,
ENSG00000095015,MAP3K1,3857.4738030307035
ENSG00000145632,PLK2,4153.694627715714
ENSG00000035499,DEPDC1B,3680.5524628968255
ENSG00000049192,ADAMTS6,3832.07470722298
ENSG00000123219,CENPK,5259.842074689655
ENSG00000069020,MAST4,10738.65605323364
ENSG00000145675,PIK3R1,2629.958065368377
ENSG00000134057,CCNB1,14458.211647499296
ENSG00000153044,CENPH,5777.4692350639425
ENSG00000152939,MARVELD2,8052.55969330266
ENSG00000131711,MAP1B,7418.569683102355
ENSG00000251493,FOXD1,52928261.21702999
ENSG00000214944,ARHGEF28,222236.0177553679
ENSG00000113161,HMGCR,3689.1208322023094
ENSG00000122012,SV2C,124973.48884796907
ENSG00000145703,IQGAP2,7613.078719347511
ENSG00000145708,CRHBP,85905.3046192474
ENSG00000164309,CMYA5,638.381694711553
ENSG00000228716,DHFR,3797.036288189535
ENSG00000038427,VCAN,5273.18109326819
ENSG00000145681,HAPLN1,2080.2820468587706
ENSG00000081189,MEF2C,4424.198890913851
ENSG00000164199,ADGRV1,4867.491519426696
ENSG00000175745,NR2F1,2301.158491126952
ENSG00000153113,CAST,5886.7662010278755
ENSG00000145721,LIX1,538944.7347835161
ENSG00000171444,MCC,4816.142630016884
ENSG00000129596,CDO1,5164.1383601367725
ENSG00000113083,LOX,3793.3176793824
ENSG00000249112,,
ENSG00000113368,LMNB1,4485.075611852233
ENSG00000145794,MEGF10,10727.18628449879
ENSG00000138829,FBN2,244.51975153478332
