gene,symbol,score
ENSG00000158710,TAGLN2,4823.491137420993
ENSG00000018625,ATP1A2,2218.896714646646
ENSG00000162734,PEA15,5369.733342638406
ENSG00000171786,NHLH1,3654.5882955557427
ENSG00000143228,NUF2,1432.8108358172963
ENSG00000143171,RXRG,
ENSG00000188859,FAM78B,4409.852071130096
ENSG00000143153,ATP1B1,4355.366624873776
ENSG00000197959,DNM3,4609.532615885797
ENSG00000203739,PRDX6-AS1,1287.139644288711
ENSG00000152061,RABGAP1L,4545.335407748066
ENSG00000116147,TNR,3093.4160771743373
ENSG00000227740,LINC02803,9906.851159750933
ENSG00000116183,PAPPA2,3220.8566948970224
ENSG00000198797,BRINP2,1895.329906412615
ENSG00000075391,RASAL2,4005.043648520164
ENSG00000121454,LHX4,3742.526084126099
ENSG00000243155,,4870.058708759749
ENSG00000198216,CACNA1E,5267.709419160305
ENSG00000143333,RGS16,15719.737483791034
ENSG00000198756,COLGALT2,5880.255163394018
ENSG00000116406,EDEM3,4963.066464354131
ENSG00000116679,IVNS1ABP,4403.13971749029
ENSG00000229739,PDC-AS1,3488.931271737604
ENSG00000162670,BRINP3,46047.825190387906
ENSG00000253148,RGS21,11294.993591407436
ENSG00000162630,B3GALT2,3569.595786129714
ENSG00000227240,,5814.311137891551
ENSG00000162687,KCNT2,4426.0943472655645
ENSG00000066279,ASPM,1956.2960723880256
ENSG00000081237,PTPRC,
ENSG00000118193,KIF14,7166.983079003802
ENSG00000077152,UBE2T,3870.7172633895657
ENSG00000143847,PPFIA4,1744.4326954779528
ENSG00000159388,BTG2,6291.712724615604
ENSG00000058668,ATP2B4,3305.2628726649214
ENSG00000143850,PLEKHA6,4730.278962052316
ENSG00000163531,NFASC,4701.641237497335
ENSG00000184144,CNTN2,3994.7957459037116
ENSG00000162873,KLHDC8A,7698.666193786932
ENSG00000266028,SRGAP2,4371.123628511731
ENSG00000076356,PLXNA2,6432.186429580759
ENSG00000143469,SYT14,4371.493776941948
ENSG00000082512,TRAF5,5574.057820034557
ENSG00000117650,NEK2,5407.681127602399
ENSG00000162772,ATF3,11013.544578591187
ENSG00000117724,CENPF,3864.974572263803
ENSG00000092969,TGFB2,2439.792298493087
ENSG00000162817,C1orf115,4301.6062659035715
ENSG00000203685,STUM,5178.868419105327
ENSG00000143801,PSEN2,3448.200232381986
ENSG00000143776,CDC42BPA,4009.7559305912914
ENSG00000177614,PGBD5,4102.075820280784
ENSG00000119283,TRIM67,4903.1077593167165
ENSG00000162946,DISC1,2194.2340658777603
ENSG00000116991,SIPA1L2,7408.391811875306
ENSG00000135749,PCNX2,3793.4569773878798
ENSG00000143674,MAP3K21,2044.8555953519347
ENSG00000135750,KCNK1,6607.675599959072
ENSG00000059588,TARBP1,3941.67143709864
ENSG00000162885,B3GALNT2,7581.935846241238
ENSG00000086619,ERO1B,3226.508539562419
ENSG00000116977,LGALS8,3376.815273718565
ENSG00000077522,ACTN2,3139.0181651029407
ENSG00000116984,MTR,3516.6472352621827
ENSG00000198626,RYR2,5097.55337136396
ENSG00000133019,CHRM3,5860.115740067361
ENSG00000155816,FMN2,3582.284465388878
ENSG00000180875,GREM2,3298.059365832213
ENSG00000226828,LINC02774,4252.9480827438
ENSG00000179456,ZBTB18,12059.27763963588
ENSG00000162849,KIF26B,4578.2625640184615
ENSG00000162722,TRIM58,2158.693758997792
ENSG00000130508,PXDN,3629.677571550686
ENSG00000186487,MYT1L,6559.5065698920735
ENSG00000115738,ID2,4768.323936183609
ENSG00000162976,SLC66A3,2830.8765728726103
ENSG00000162981,LRATD1,2893.144557989952
ENSG00000197872,CYRIA,4245.293585352942
ENSG00000163032,VSNL1,2452.7056314176143
ENSG00000119771,KLHL29,4937.990282627316
ENSG00000198399,ITSN2,3820.192386028035
ENSG00000084710,EFR3B,4000.7409628388996
ENSG00000115163,CENPA,2369.0348000362724
ENSG00000226833,PPP1CB-DT,6827.634176557792
ENSG00000115295,CLIP4,2745.2736037626073
ENSG00000171094,ALK,127094485.13471341
ENSG00000049323,LTBP1,3048.433080250827
ENSG00000227028,SLC8A1-AS1,4752.979593465869
ENSG00000183023,SLC8A1,4962.360624250203
ENSG00000152518,ZFP36L2,5354.435825531079
ENSG00000152527,PLEKHH2,8770.18626673288
ENSG00000138079,SLC3A1,4152.7246221318655
ENSG00000171132,PRKCE,3183.7673936399606
ENSG00000250116,RHOQ-AS1,
ENSG00000068724,TTC7A,13496.015813175078
ENSG00000184261,KCNK12,4236.278986847213
ENSG00000282890,,401988692.5074343
ENSG00000179915,NRXN1,7904.480511654384
ENSG00000115306,SPTBN1,4953.482284997086
