,gene_name,total_highly_variable,total_velocity_genes,total_fit_loss,total_fit_llf,total_fit_sr2,total_fit_ur2,317s1_highly_variable,317s1_velocity_genes,317s1_fit_loss,317s1_fit_llf,317s1_fit_sr2,317s1_fit_ur2,317s2_highly_variable,317s2_velocity_genes,317s2_fit_loss,317s2_fit_llf,317s2_fit_sr2,317s2_fit_ur2,320s1_highly_variable,320s1_velocity_genes,320s1_fit_loss,320s1_fit_llf,320s1_fit_sr2,320s1_fit_ur2,320s2_highly_variable,320s2_velocity_genes,320s2_fit_loss,320s2_fit_llf,320s2_fit_sr2,320s2_fit_ur2,323s1_highly_variable,323s1_velocity_genes,323s1_fit_loss,323s1_fit_llf,323s1_fit_sr2,323s1_fit_ur2,323s2_highly_variable,323s2_velocity_genes,323s2_fit_loss,323s2_fit_llf,323s2_fit_sr2,323s2_fit_ur2,326s1_highly_variable,326s1_velocity_genes,326s1_fit_loss,326s1_fit_llf,326s1_fit_sr2,326s1_fit_ur2,326s2_highly_variable,326s2_velocity_genes,326s2_fit_loss,326s2_fit_llf,326s2_fit_sr2,326s2_fit_ur2,329s1_highly_variable,329s1_velocity_genes,329s1_fit_loss,329s1_fit_llf,329s1_fit_sr2,329s1_fit_ur2,329s2_highly_variable,329s2_velocity_genes,329s2_fit_loss,329s2_fit_llf,329s2_fit_sr2,329s2_fit_ur2,overdisp_S,overdisp_U,nonzero_S,nonzero_U
0,0610007P14Rik,,,,,,,,,,,,,True,False,0.0852002426981926,6492.11865234375,-13.616385459899902,-2.3768343925476074,True,False,0.061694931238889694,6362.9873046875,-11.276811599731445,-2.048711061477661,,,,,,,,,,,,,,,,,,,True,False,0.07516703754663467,6585.7041015625,-15.203889846801758,-2.7396223545074463,,,,,,,,,,,,,,,,,,,1.93484540471318,4.67139952377687,0.47754329004329,0.03598484848484848
1,0610010F05Rik,True,False,0.2917865514755249,-20889.583984375,-36.234840393066406,-50.48917007446289,,,,,,,True,False,0.08865507692098618,-9928.5146484375,-33.0882682800293,-34.62617874145508,True,False,0.0666307732462883,-9615.650390625,-23.046653747558594,-34.597537994384766,True,False,0.057579949498176575,-3955.880859375,-28.195810317993164,-19.474416732788086,True,False,0.07921887934207916,-9714.5869140625,-28.137617111206055,-26.896554946899414,,,,,,,,,,,,,True,False,0.1090332493185997,-11234.7275390625,-30.839262008666992,-41.118717193603516,True,False,0.040069639682769775,-5192.7978515625,-21.07746124267578,-16.545541763305664,True,False,0.06021320819854736,-3586.03955078125,-29.633228302001953,-20.526548385620117,3.71065563542032,1.52481302937315,0.13068181818181818,0.14123376623376624
2,0610011F06Rik,True,True,0.16079309582710266,1017.697265625,0.36726856231689453,0.4446414113044739,True,True,0.05327014997601509,2682.71484375,0.3479691743850708,0.32053714990615845,True,False,0.5021358728408813,-1214.3319091796875,-17.387798309326172,-5.963782787322998,True,True,0.047103144228458405,2716.53125,0.32639676332473755,0.3368644118309021,True,False,0.579307496547699,-1711.9515380859375,-20.643465042114258,-6.575506687164307,True,False,0.3888244032859802,-655.150634765625,-12.970351219177246,-3.8330774307250977,True,True,0.036748383194208145,3308.080078125,0.20360708236694336,0.43906402587890625,True,False,0.4410281479358673,-1106.5654296875,-11.610054969787598,-4.89129114151001,True,False,0.5060306191444397,-1535.8800048828125,-14.319293022155762,-5.897021293640137,True,False,0.560360312461853,-1725.72509765625,-18.905794143676758,-6.090087890625,True,True,0.044885553419589996,3012.22314453125,0.29500913619995117,0.38220226764678955,3.85119029139053,2.76272064499163,0.5762987012987013,0.43127705627705626
3,0610030E20Rik,True,False,0.03839343413710594,4790.2431640625,-20.28350830078125,-4.093498706817627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56372931131684,1.26801004251522,0.17261904761904762,0.024350649350649352
4,0610040J01Rik,,,,,,,,,,,,,,,,,,,,,,,,,True,False,0.19594600796699524,-2146.827880859375,-14.245216369628906,-9.170531272888184,True,False,0.3770093321800232,-7534.35009765625,-23.122346878051758,-19.264745712280273,True,False,0.37312719225883484,-4565.3974609375,-20.17385482788086,-16.113807678222656,,,,,,,,,,,,,,,,,,,True,False,0.38920044898986816,-6813.28759765625,-23.32234001159668,-19.2879695892334,4.90117593480987,1.70081125044282,0.5054112554112553,0.37662337662337664
5,1110002L01Rik,True,False,0.03361287713050842,-16315.39453125,-17.648181915283203,-24.586605072021484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513534292093073,0.570065500501928,0.04193722943722944,0.07061688311688313
6,1110034G24Rik,True,False,0.05721164867281914,3251.783203125,-48.53816223144531,-7.580820083618164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63405900731159,0.475375801012027,0.13014069264069264,0.03841991341991342
7,1110037F02Rik,,,,,,,,,,,,,True,False,0.03027140162885189,676.43603515625,-18.892168045043945,-10.376933097839355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25836009083094,1.00775114751732,0.18019480519480519,0.11309523809523811
8,1500009L16Rik,True,True,0.23680008947849274,8193.6728515625,0.4668167233467102,0.2460065484046936,True,False,0.2875896990299225,7126.5283203125,-18.878551483154297,-2.727278709411621,True,False,0.34864723682403564,6323.80126953125,-22.613550186157227,-3.936957836151123,True,True,0.06827492266893387,9721.7548828125,0.15336096286773682,0.18191593885421753,True,True,0.05927559733390808,9457.7255859375,0.38663047552108765,0.0983622670173645,True,True,0.05752693489193916,9712.064453125,0.34987854957580566,0.14566051959991455,True,False,0.38843441009521484,6847.30615234375,-21.446758270263672,-3.5927557945251465,True,False,0.5338865518569946,5846.642578125,-42.557735443115234,-6.320291996002197,True,True,0.061956364661455154,9933.6787109375,0.36635535955429077,0.1393483281135559,True,False,0.28843483328819275,7254.541015625,-18.950878143310547,-2.066523551940918,True,False,0.2092648148536682,6994.57080078125,-13.379673957824707,-2.8907997608184814,0.507570593090844,0.20549711903446,0.2878787878787879,0.024891774891774892
9,1600020E01Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,0.05302996188402176,-4276.00537109375,-32.5617561340332,-29.27129554748535,113.655540868856,0.849939259619886,0.1279761904761905,0.08414502164502165
