,gene_name,total_highly_variable,total_velocity_genes,total_fit_loss,317s1_highly_variable,317s1_velocity_genes,317s1_fit_loss,317s2_highly_variable,317s2_velocity_genes,317s2_fit_loss,320s1_highly_variable,320s1_velocity_genes,320s1_fit_loss,320s2_highly_variable,320s2_velocity_genes,320s2_fit_loss,323s1_highly_variable,323s1_velocity_genes,323s1_fit_loss,323s2_highly_variable,323s2_velocity_genes,323s2_fit_loss,326s1_highly_variable,326s1_velocity_genes,326s1_fit_loss,326s2_highly_variable,326s2_velocity_genes,326s2_fit_loss,329s1_highly_variable,329s1_velocity_genes,329s1_fit_loss,329s2_highly_variable,329s2_velocity_genes,329s2_fit_loss,overdisp_S,overdisp_U,nonzero_S,nonzero_U
3384,Tmem63a,True,False,0.021364931017160416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73624561126723,inf,0.13392857142857145,0.02326839826839827
3385,Tmem63b,True,False,0.0873146504163742,True,False,0.03949733078479767,True,False,0.074469193816185,True,False,0.06538046151399612,True,False,0.05604642629623413,True,False,0.0784115344285965,True,False,0.04091399163007736,True,False,0.04130210727453232,True,False,0.0699848160147667,True,False,0.04615988954901695,True,False,0.042525406926870346,4.14019439709497,inf,0.2981601731601732,0.07575757575757576
3386,Tmem65,True,True,0.017638232558965683,True,True,0.012753764167428017,True,True,0.006395225413143635,True,True,0.006929181050509214,True,True,0.005715681239962578,True,True,0.0069657848216593266,True,True,0.005834632087498903,True,True,0.005925570148974657,True,True,0.00828604493290186,True,True,0.005431045312434435,,,,0.706122269347813,0.351985941219123,0.137987012987013,0.05167748917748918
3387,Tmem80,True,False,0.07709860801696777,True,False,0.020214581862092018,True,False,0.030650939792394638,True,False,0.02160785160958767,True,False,0.03229184076189995,True,False,0.029269026592373848,True,False,0.047104936093091965,True,False,0.034457024186849594,True,False,0.024583421647548676,True,False,0.0741172730922699,True,False,0.029462827369570732,2.07483431984744,3.58575278774612,0.12310606060606061,0.07386363636363637
3388,Tmem87b,True,False,0.06366270780563354,True,False,0.028646085411310196,True,False,0.02149965986609459,True,False,0.022180277854204178,True,False,0.05216715857386589,,,,True,False,0.01989775151014328,,,,True,False,0.04470030590891838,True,False,0.023249421268701553,,,,3.72170140153621,1.11617999326591,0.15476190476190477,0.0716991341991342
3389,Tmem9,,,,,,,,,,True,False,0.3255120515823364,,,,,,,True,False,0.27382999658584595,,,,True,False,0.26297727227211,True,False,0.24303480982780457,True,False,0.1892165094614029,6.03899956409195,3.14332692110553,0.7064393939393938,0.07981601731601733
3390,Tmem97,True,False,0.3783803880214691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.938565329207275,inf,0.3747294372294372,0.004870129870129871
3391,Tmem98,,,,,,,,,,,,,,,,True,False,0.02929520420730114,,,,True,False,0.026683572679758072,,,,True,False,0.04205339774489403,True,False,0.031887516379356384,4.99398057072106,inf,0.28327922077922074,0.025974025974025976
3392,Tmf1,,,,True,False,0.016817111521959305,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91122911001298,1.52368015909018,0.20454545454545453,0.030844155844155844
3393,Tmod3,,,,True,False,0.15820173919200897,True,False,0.09170956909656525,True,False,0.1264333426952362,True,False,0.10185007750988007,True,False,0.13365355134010315,True,False,0.09998591244220734,True,False,0.10898314416408539,True,False,0.17404481768608093,True,False,0.09417130053043365,True,False,0.13749481737613678,3.14905492572149,2.39040831459921,0.2353896103896104,0.18452380952380953
3394,Tmpo,,,,True,False,0.19047307968139648,True,False,0.26817095279693604,True,False,0.2615739107131958,True,True,0.06788986176252365,True,True,0.06014050170779228,True,False,0.26140955090522766,True,False,0.2132491171360016,True,True,0.05388571694493294,True,True,0.05378010869026184,True,False,0.19591277837753296,1.27362043586941,0.571241164289739,0.5362554112554112,0.055735930735930736
3395,Tmsb10,True,False,6.81892204284668,True,False,2.632805347442627,True,False,2.9689536094665527,True,False,3.3519985675811768,True,False,2.5664844512939453,True,False,3.2506630420684814,True,False,3.214672327041626,True,False,2.651607036590576,True,False,2.4068570137023926,True,False,2.5655410289764404,True,False,3.3924973011016846,2.04022805931743,0.551292637105967,0.9542748917748918,0.04491341991341991
3396,Tmsb15l,True,True,0.5896068215370178,True,True,0.1395159661769867,True,True,0.14581401646137238,True,True,0.12095288932323456,True,True,0.1482831984758377,True,True,0.16148822009563446,True,True,0.10172049701213837,True,True,0.12957538664340973,True,True,0.14105810225009918,True,True,0.10944776237010956,True,True,0.18359418213367462,0.205733974009589,0.100025663460525,0.22727272727272727,0.019209956709956708
3397,Tmsb4x,True,False,301.6588134765625,True,False,192.9980010986328,True,False,211.12034606933594,True,False,200.22573852539062,True,False,198.2195587158203,True,False,193.50953674316406,True,False,246.66551208496094,True,False,221.06845092773438,True,False,202.21534729003906,True,False,180.7325897216797,True,False,239.5852508544922,0.785700484038054,0.123459097772077,0.9318181818181817,0.010822510822510824
3398,Tmtc1,True,False,0.11858106404542923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242189708839504,0.20740041313945,0.01028138528138528,0.07088744588744589
3399,Tmx1,True,True,0.40206971764564514,True,False,0.41738614439964294,True,False,0.5802053213119507,True,False,0.5512523055076599,True,False,0.4939541518688202,True,False,0.3509109914302826,True,False,0.5010818243026733,True,False,0.6148935556411743,True,False,0.4060421586036682,True,False,0.5677708387374878,True,False,0.4296764135360718,2.77845774461775,0.490421090772251,0.6101190476190477,0.03192640692640693
3400,Tmx4,True,False,0.06320218741893768,True,False,0.02303316630423069,True,False,0.0290679931640625,True,False,0.022299861535429955,True,False,0.049311164766550064,True,False,0.028287842869758606,True,False,0.036736615002155304,True,False,0.042769912630319595,True,False,0.02210194244980812,True,False,0.029626138508319855,True,False,0.04438919201493263,1.61610271085912,0.408527368849439,0.15016233766233766,0.054383116883116894
3401,Tnik,True,True,0.001084728166460991,,,,True,True,0.000483715848531574,True,True,0.001633523846976459,,,,True,False,0.12514559924602509,,,,True,True,0.0015261905500665307,True,False,0.23534363508224487,True,False,0.273844838142395,True,True,0.0020002040546387434,0.353649204031554,0.287990662973862,0.03300865800865801,0.1341991341991342
3402,Tnks,,,,True,False,0.07098200917243958,,,,,,,,,,True,False,0.0701400637626648,,,,,,,,,,,,,,,,inf,2.70251673075515,0.06791125541125542,0.1831709956709957
